frame,sasa_total_nm2
0.000000000000000000e+00,1.030383911132812500e+02
1.000000000000000000e+02,1.014978637695312500e+02
2.000000000000000000e+02,1.034443511962890625e+02
3.000000000000000000e+02,1.061802597045898438e+02
4.000000000000000000e+02,1.044460449218750000e+02
5.000000000000000000e+02,1.029738159179687500e+02
6.000000000000000000e+02,1.047053833007812500e+02
7.000000000000000000e+02,1.039089508056640625e+02
8.000000000000000000e+02,1.026689910888671875e+02
9.000000000000000000e+02,1.035445709228515625e+02
1.000000000000000000e+03,1.042403869628906250e+02
1.100000000000000000e+03,1.032286834716796875e+02
1.200000000000000000e+03,1.026594009399414062e+02
1.300000000000000000e+03,1.046018066406250000e+02
1.400000000000000000e+03,1.040557174682617188e+02
1.500000000000000000e+03,1.022868041992187500e+02
1.600000000000000000e+03,1.035719909667968750e+02
1.700000000000000000e+03,1.016634445190429688e+02
1.800000000000000000e+03,1.032054443359375000e+02
1.900000000000000000e+03,1.021786956787109375e+02
2.000000000000000000e+03,1.036246490478515625e+02
2.100000000000000000e+03,1.026897735595703125e+02
2.200000000000000000e+03,1.037048568725585938e+02
2.300000000000000000e+03,1.019937057495117188e+02
2.400000000000000000e+03,1.036491851806640625e+02
2.500000000000000000e+03,1.027806701660156250e+02
2.600000000000000000e+03,1.029179382324218750e+02
2.700000000000000000e+03,1.031414947509765625e+02
2.800000000000000000e+03,1.044032135009765625e+02
2.900000000000000000e+03,1.044068298339843750e+02
3.000000000000000000e+03,1.028019180297851562e+02
3.100000000000000000e+03,1.024770660400390625e+02
3.200000000000000000e+03,1.025554580688476562e+02
3.300000000000000000e+03,1.018562774658203125e+02
3.400000000000000000e+03,1.020256042480468750e+02
3.500000000000000000e+03,1.020810623168945312e+02
3.600000000000000000e+03,1.048408966064453125e+02
3.700000000000000000e+03,1.030180664062500000e+02
3.800000000000000000e+03,1.023729248046875000e+02
3.900000000000000000e+03,1.037220611572265625e+02
4.000000000000000000e+03,1.013245697021484375e+02
4.100000000000000000e+03,1.035209350585937500e+02
