frame,sasa_total_nm2
0.000000000000000000e+00,1.038892211914062500e+02
1.000000000000000000e+02,1.028680114746093750e+02
2.000000000000000000e+02,1.016805877685546875e+02
3.000000000000000000e+02,1.011135025024414062e+02
4.000000000000000000e+02,1.025597686767578125e+02
5.000000000000000000e+02,1.027101135253906250e+02
6.000000000000000000e+02,1.026370544433593750e+02
7.000000000000000000e+02,1.021107025146484375e+02
8.000000000000000000e+02,1.015791244506835938e+02
9.000000000000000000e+02,1.006891479492187500e+02
1.000000000000000000e+03,9.944619750976562500e+01
1.100000000000000000e+03,9.970992279052734375e+01
1.200000000000000000e+03,1.025822372436523438e+02
1.300000000000000000e+03,1.021387176513671875e+02
1.400000000000000000e+03,1.033077316284179688e+02
1.500000000000000000e+03,1.028762435913085938e+02
1.600000000000000000e+03,1.023609313964843750e+02
1.700000000000000000e+03,1.035459442138671875e+02
1.800000000000000000e+03,1.035114059448242188e+02
1.900000000000000000e+03,1.018473510742187500e+02
2.000000000000000000e+03,1.020046081542968750e+02
2.100000000000000000e+03,1.041755599975585938e+02
2.200000000000000000e+03,1.024615478515625000e+02
2.300000000000000000e+03,1.017181701660156250e+02
2.400000000000000000e+03,1.010251007080078125e+02
2.500000000000000000e+03,1.015787200927734375e+02
2.600000000000000000e+03,1.001946258544921875e+02
2.700000000000000000e+03,1.013158264160156250e+02
2.800000000000000000e+03,1.014889984130859375e+02
2.900000000000000000e+03,1.032730255126953125e+02
3.000000000000000000e+03,1.040062942504882812e+02
3.100000000000000000e+03,1.026785812377929688e+02
3.200000000000000000e+03,1.035284118652343750e+02
3.300000000000000000e+03,1.013436126708984375e+02
3.400000000000000000e+03,1.014627304077148438e+02
3.500000000000000000e+03,1.027590637207031250e+02
3.600000000000000000e+03,1.026877441406250000e+02
3.700000000000000000e+03,1.009735107421875000e+02
3.800000000000000000e+03,1.027556076049804688e+02
3.900000000000000000e+03,1.005022430419921875e+02
4.000000000000000000e+03,1.012469177246093750e+02
4.100000000000000000e+03,1.014090805053710938e+02
4.200000000000000000e+03,1.016630783081054688e+02
4.300000000000000000e+03,1.019479370117187500e+02
4.400000000000000000e+03,1.026026763916015625e+02
4.500000000000000000e+03,1.033354339599609375e+02
4.600000000000000000e+03,1.039103088378906250e+02
4.700000000000000000e+03,1.044720916748046875e+02
4.800000000000000000e+03,1.033972015380859375e+02
4.900000000000000000e+03,1.039543304443359375e+02
5.000000000000000000e+03,1.031894073486328125e+02
5.100000000000000000e+03,1.025307922363281250e+02
5.200000000000000000e+03,1.028955993652343750e+02
5.300000000000000000e+03,1.020826950073242188e+02
5.400000000000000000e+03,1.020993118286132812e+02
5.500000000000000000e+03,1.028470764160156250e+02
5.600000000000000000e+03,1.032452392578125000e+02
5.700000000000000000e+03,1.042652206420898438e+02
5.800000000000000000e+03,1.039330749511718750e+02
5.900000000000000000e+03,1.050124282836914062e+02
6.000000000000000000e+03,1.041976776123046875e+02
6.100000000000000000e+03,1.023595123291015625e+02
6.200000000000000000e+03,9.994986724853515625e+01
6.300000000000000000e+03,1.003878555297851562e+02
6.400000000000000000e+03,1.010762176513671875e+02
6.500000000000000000e+03,1.017699813842773438e+02
6.600000000000000000e+03,1.013235778808593750e+02
6.700000000000000000e+03,1.031692657470703125e+02
6.800000000000000000e+03,1.030776062011718750e+02
6.900000000000000000e+03,1.018718566894531250e+02
7.000000000000000000e+03,1.021246337890625000e+02
7.100000000000000000e+03,1.031054992675781250e+02
7.200000000000000000e+03,1.008474273681640625e+02
7.300000000000000000e+03,1.021311035156250000e+02
7.400000000000000000e+03,1.014089813232421875e+02
7.500000000000000000e+03,1.027085113525390625e+02
7.600000000000000000e+03,1.011899414062500000e+02
7.700000000000000000e+03,1.014102325439453125e+02
7.800000000000000000e+03,1.031891937255859375e+02
7.900000000000000000e+03,1.032608947753906250e+02
8.000000000000000000e+03,1.013757476806640625e+02
8.100000000000000000e+03,1.022673568725585938e+02
8.200000000000000000e+03,1.030441741943359375e+02
8.300000000000000000e+03,1.035303039550781250e+02
8.400000000000000000e+03,1.035700454711914062e+02
8.500000000000000000e+03,1.041875152587890625e+02
8.600000000000000000e+03,1.025003738403320312e+02
8.700000000000000000e+03,1.023047332763671875e+02
8.800000000000000000e+03,1.030357208251953125e+02
8.900000000000000000e+03,1.029752655029296875e+02
9.000000000000000000e+03,1.031257629394531250e+02
9.100000000000000000e+03,1.044398345947265625e+02
9.200000000000000000e+03,1.012157135009765625e+02
9.300000000000000000e+03,1.021404953002929688e+02
9.400000000000000000e+03,1.035618438720703125e+02
9.500000000000000000e+03,1.033573303222656250e+02
9.600000000000000000e+03,1.032757110595703125e+02
9.700000000000000000e+03,1.058533172607421875e+02
9.800000000000000000e+03,1.048198852539062500e+02
9.900000000000000000e+03,1.057422790527343750e+02
1.000000000000000000e+04,1.051455154418945312e+02
1.010000000000000000e+04,1.039347991943359375e+02
1.020000000000000000e+04,1.050803985595703125e+02
1.030000000000000000e+04,1.026569824218750000e+02
1.040000000000000000e+04,1.037059631347656250e+02
1.050000000000000000e+04,1.053523101806640625e+02
1.060000000000000000e+04,1.035607833862304688e+02
1.070000000000000000e+04,1.032598648071289062e+02
1.080000000000000000e+04,1.045869750976562500e+02
1.090000000000000000e+04,1.044191436767578125e+02
1.100000000000000000e+04,1.022290039062500000e+02
1.110000000000000000e+04,1.033746719360351562e+02
1.120000000000000000e+04,1.006137313842773438e+02
1.130000000000000000e+04,1.023101577758789062e+02
1.140000000000000000e+04,1.016836395263671875e+02
1.150000000000000000e+04,1.031562042236328125e+02
1.160000000000000000e+04,1.025788421630859375e+02
1.170000000000000000e+04,1.043837432861328125e+02
1.180000000000000000e+04,1.028994216918945312e+02
1.190000000000000000e+04,1.033286285400390625e+02
1.200000000000000000e+04,1.040654754638671875e+02
1.210000000000000000e+04,1.033435058593750000e+02
1.220000000000000000e+04,1.032133026123046875e+02
1.230000000000000000e+04,1.029840087890625000e+02
1.240000000000000000e+04,1.040469665527343750e+02
1.250000000000000000e+04,1.023894424438476562e+02
1.260000000000000000e+04,1.027281036376953125e+02
