[wt 400K rep3] equilibrating 100 ps at 400.0 K...
[wt 400K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
9.4%,4700000,-527359.111868808,398.97181100428116,718,3:01:55
9.5%,4750000,-528647.6418878185,398.1761374829377,718,3:01:43
9.6%,4800000,-526501.0881194067,404.2291095997203,718,3:01:31
9.7%,4850000,-527346.3464916116,399.81132335471267,718,3:01:20
9.8%,4900000,-528428.2485828376,400.39589831740903,718,3:01:09
9.9%,4950000,-528026.4668972609,400.82243761307404,718,3:00:57
10.0%,5000000,-528646.0801797356,404.757162647353,718,3:00:45
10.1%,5050000,-527639.4049805044,397.38299076595683,718,3:00:34
10.2%,5100000,-529550.9123541759,400.87969549057345,718,3:00:21
10.3%,5150000,-528520.7000826932,399.016140474993,718,3:00:09
10.4%,5200000,-528856.2570698955,397.0981487712501,718,2:59:57
10.5%,5250000,-528849.2672741404,400.44719489917907,718,2:59:45
10.6%,5300000,-527544.5084479144,400.2041555708215,718,2:59:33
10.7%,5350000,-528712.2481453698,396.5481149788704,718,2:59:21
10.8%,5400000,-528905.9641495855,403.8664518434762,718,2:59:08
10.9%,5450000,-528112.1044954159,398.3609376505482,718,2:58:56
11.0%,5500000,-527359.3588126255,401.2802307801762,718,2:58:44
11.1%,5550000,-528601.3015816114,400.64492347357714,718,2:58:33
11.2%,5600000,-530033.3946544807,398.629588471669,718,2:58:21
11.3%,5650000,-526281.4581943299,399.807128368829,718,2:58:09
11.4%,5700000,-527601.4412837988,399.60424805738086,718,2:57:57
11.5%,5750000,-527931.6543437969,403.0731579340083,718,2:57:45
11.6%,5800000,-527901.355581298,400.1751586508539,718,2:57:34
11.7%,5850000,-527983.6213770187,400.2326863812464,718,2:57:22
11.8%,5900000,-527854.4314587684,400.41785453007486,718,2:57:09
11.9%,5950000,-528897.4187711836,396.1164730103177,718,2:56:57
12.0%,6000000,-528760.4160252376,402.8381651282812,718,2:56:46
12.1%,6050000,-528610.0773169505,400.7463636293013,718,2:56:34
12.2%,6100000,-527427.7358752326,399.077715998782,718,2:56:22
12.3%,6150000,-527536.8929905007,403.33626450477993,718,2:56:10
12.4%,6200000,-528316.7865143381,405.37473325925106,718,2:55:58
12.5%,6250000,-529359.7237262325,398.40158730908144,718,2:55:46
12.6%,6300000,-528046.5748573877,401.57989015192226,718,2:55:33
12.7%,6350000,-528175.7811900922,401.5664220393484,718,2:55:22
